State,Predicted Margin,Precision,Length,Date
AZ,0.8308134588352161,0.07836036630552988,163,2024-09-11 21:27:48
CA,-23.076634157077137,0.07836036630552988,163,2024-09-11 21:27:48
FL,4.320083972294384,0.07836036630552988,163,2024-09-11 21:27:48
GA,0.6717394804961927,0.07836036630552988,163,2024-09-11 21:27:48
MD,-26.417929018605776,0.07836036630552988,163,2024-09-11 21:27:48
MI,-1.7387347661834411,0.07836036630552988,163,2024-09-11 21:27:48
MN,-6.999879086332157,0.07836036630552988,163,2024-09-11 21:27:48
MT,15.062701283011336,0.07836036630552988,163,2024-09-11 21:27:48
NC,-0.2583112028315213,0.07836036630552988,163,2024-09-11 21:27:48
NE-2,-6.104285210022084,0.07836036630552988,163,2024-09-11 21:27:48
NH,-6.7276319636976325,0.07836036630552988,163,2024-09-11 21:27:48
NM,-6.771135131471837,0.07836036630552988,163,2024-09-11 21:27:48
NV,-0.051543144852573164,0.07836036630552988,163,2024-09-11 21:27:48
National,-2.7264576168686787,0.07836036630552988,163,2024-09-11 21:27:48
OH,8.797050720219943,0.07836036630552988,163,2024-09-11 21:27:48
PA,-0.48989239626128267,0.07836036630552988,163,2024-09-11 21:27:48
TX,5.992575754300738,0.07836036630552988,163,2024-09-11 21:27:48
VA,-9.187980917214993,0.07836036630552988,163,2024-09-11 21:27:48
WI,-2.647217634482608,0.07836036630552988,163,2024-09-11 21:27:48
AK,17.030234208781884,0.07836036630552988,163,2024-09-11 21:27:48
CO,-10.60512008459429,0.07836036630552988,163,2024-09-11 21:27:48
IA,7.950019183700917,0.07836036630552988,163,2024-09-11 21:27:48
MA,-23.13538807819142,0.07836036630552988,163,2024-09-11 21:27:48
NE,13.250771755177645,0.07836036630552988,163,2024-09-11 21:27:48
NY,-15.473138545193876,0.07836036630552988,163,2024-09-11 21:27:48
SC,10.702405014612566,0.07836036630552988,163,2024-09-11 21:27:48
TN,25.11813561860192,0.07836036630552988,163,2024-09-11 21:27:48
UT,24.29878535243354,0.07836036630552988,163,2024-09-11 21:27:48
WA,-16.012150911854647,0.07836036630552988,163,2024-09-11 21:27:48
