Race,Final Margin,Margin Party,Polling Average,Polling Party,Betting Market,Betting Party,Fundamentals,Prior Party
Popular Vote,D+ 2.3,D,D+ 3.4,D,D+ 5.8,D,D+ 3.9,D
Pennsylvania,D+ 0.2,D,D+ 0.8,D,R+ 0.1,R,R+ 0.5,R
Wisconsin,D+ 0.6,D,D+ 1.8,D,D+ 1.3,D,R+ 1.5,R
Nevada,D+ 0.7,D,D+ 0.9,D,D+ 0.5,D,D+ 0.6,D
North Carolina,R+ 1.8,R,R+ 0.7,R,R+ 1.5,R,R+ 3.4,R
Michigan,D+ 1.8,D,D+ 1.5,D,D+ 3.4,D,D+ 1.0,D
Arizona,R+ 2.0,R,R+ 0.9,R,R+ 2.9,R,R+ 2.6,R
Georgia,R+ 2.0,R,R+ 1.2,R,R+ 2.5,R,R+ 2.6,R
Florida,R+ 5.4,R,R+ 3.9,R,R+ 8.2,R,R+ 5.2,R
Minnesota,D+ 5.8,D,D+ 5.7,D,D+ 12.9,D,D+ 4.6,D
Texas,R+ 7.2,R,R+ 5.8,R,R+ 10.3,R,R+ 8.6,R
New Hampshire,D+ 7.6,D,D+ 9.3,D,D+ 10.4,D,D+ 4.9,D
Virginia,D+ 8.0,D,D+ 7.6,D,D+ 9.4,D,D+ 7.4,D
New Mexico,D+ 8.7,D,D+ 8.0,D,D+ 12.8,D,D+ 8.7,D
Iowa,R+ 8.8,R,R+ 7.7,R,R+ 12.8,R,R+ 9.6,R
